companyRevenue,Cyber GWP
2149000.00,57.99
1051000.00,64.77
1400000.00,110.19
2000000.00,117.24
1400000.00,129.96
1400000.00,153.39
17000000.00,153.74
2296000.00,158.90
10000000.00,186.00
4622000.00,215.79
4631000.00,225.16
1400000.00,232.22
1528000.00,238.33
1724000.00,261.79
1528000.00,269.99
1660000.00,270.01
1235000.00,277.27
2000000.00,277.74
2000000.00,293.91
2077000.00,301.93
10000000.00,321.15
2400000.00,323.34
3588000.00,342.89
3133000.00,345.60
4072000.00,349.67
10000000.00,365.99
10097000.00,367.18
16573000.00,381.60
1400000.00,382.10
4260000.00,388.53
1503000.00,393.91
1400000.00,408.88
2000000.00,411.88
2246000.00,451.77
2830000.00,452.96
2830000.00,452.96
344000.00,458.93
4358000.00,459.63
1247000.00,479.35
3000000.00,489.92
3000000.00,495.13
3073000.00,496.80
1500000.00,515.08
1595000.00,520.32
3138000.00,531.46
2342000.00,538.66
4126000.00,560.73
63000.00,574.25
3694000.00,574.78
2629000.00,576.73
4552000.00,582.62
2000000.00,583.57
3688000.00,591.22
2787000.00,598.74
1.00,600.28
3367000.00,601.13
3704000.00,613.31
226000.00,613.95
1.00,615.11
110000.00,621.48
1529000.00,623.11
1.00,628.68
4245000.00,629.08
579000.00,629.29
839000.00,631.26
2429000.00,634.40
4583000.00,637.53
1.00,637.68
3000000.00,639.28
1.00,642.61
628000.00,648.80
2634000.00,660.46
1.00,666.60
1.00,669.56
3779000.00,671.73
1.00,675.34
1.00,678.04
1.00,680.37
1.00,680.37
1.00,681.02
54000.00,691.26
1.00,693.34
1.00,693.50
1400000.00,697.63
1.00,697.72
1884000.00,699.05
1.00,700.12
1.00,700.12
1.00,700.12
1.00,708.16
3000000.00,709.15
10000000.00,711.89
1.00,715.05
227000.00,719.73
1.00,725.82
1400000.00,725.89
1.00,726.46
1.00,730.75
378000.00,731.20
10000000.00,733.45
1.00,734.89
316000.00,734.90
1.00,740.39
1.00,740.41
1.00,742.94
1.00,744.57
2469000.00,747.39
1.00,748.05
3817000.00,749.20
1.00,750.83
1.00,751.86
1.00,753.41
1.00,755.16
1.00,755.89
1.00,758.01
1.00,761.93
1.00,766.57
1.00,769.02
1300000.00,769.47
1.00,770.32
1.00,770.82
482000.00,772.19
1.00,772.60
4412000.00,774.79
1.00,775.04
1.00,775.84
1.00,778.07
1400000.00,778.12
1.00,778.24
1.00,778.59
1.00,778.94
1.00,779.61
1.00,779.63
4200000.00,780.02
1.00,781.94
4564000.00,782.76
1.00,783.79
1.00,784.19
1.00,784.21
1.00,784.98
1.00,785.10
1.00,785.10
1.00,785.98
1.00,785.98
1.00,788.58
3094000.00,789.05
1.00,789.63
1.00,790.07
1.00,790.40
1.00,790.40
4296000.00,792.09
1.00,792.31
1.00,792.48
1.00,792.54
1.00,792.81
1.00,794.26
1.00,794.87
1.00,797.28
1.00,797.41
1.00,798.25
1.00,798.76
1.00,801.89
1.00,804.37
1.00,806.78
1.00,807.43
1.00,807.61
1503000.00,807.97
1.00,810.00
1.00,810.46
1.00,810.78
1.00,810.78
1.00,811.44
1.00,814.26
1.00,814.46
1.00,814.50
1.00,814.77
1.00,816.13
1.00,816.46
1.00,816.66
1.00,816.66
1.00,816.73
1.00,817.47
1.00,817.47
1.00,817.71
1.00,817.80
1.00,818.85
1.00,820.02
4803000.00,820.94
1.00,821.10
1.00,823.13
1.00,824.48
1.00,824.91
1.00,825.02
1.00,825.21
1.00,826.49
1.00,827.38
1.00,830.58
1.00,832.71
1.00,832.86
1.00,834.34
1.00,834.52
1.00,835.91
1.00,838.75
1.00,840.35
1.00,842.27
1.00,844.14
1.00,846.76
1.00,847.17
